Depth [L],t = 0.0,t = 0.08,t = 0.12,t = 0.8,t = 1.92,t = 2.83
29.46,640.9,640.8999983906642,640.8999973302273,640.8999612314913,640.8998681479093,640.899784051567
30.46,535.6397435897435,475.77458190154726,448.3996941916274,163.73968581670783,31.15643484231195,8.091985136712655
31.46,613.4620000000001,545.0455778237226,513.785430710864,189.38025521570353,37.44474083355589,10.220616659126824
32.46,652.1435714285714,609.4879232266123,588.6066388294354,301.3322110633383,83.93413923985037,27.560673401302193
33.46,658.4870212765958,618.155118606154,598.8562708327951,341.0394296068975,119.16570950275295,46.13338526415011
34.46,664.4052,627.3904020986573,609.581962621264,368.20941257812416,148.64714965361546,65.77252694752517
35.46,665.36625,628.7016439239736,611.1271255534227,376.07030353982026,163.31948088504953,78.82458338718246
36.46,667.9079591836735,634.6529587594458,618.5770286269515,395.7568398177672,182.75761956761045,94.00826903979261
37.46,667.2885714285715,638.0121378807443,623.773520831973,419.43753293201246,208.18373973136988,113.52143320069118
38.46,667.7535294117647,642.2161916887155,629.7420611311487,445.7385523956076,240.3950299410035,139.8638145131458
39.46,672.2992307692308,657.6839494194486,650.2480391530726,518.8395362837733,324.8033737180831,208.83668789428748
40.46,672.9684210526316,659.4800082665402,652.807123216412,543.7665353340485,378.67238238022685,266.17177815438765
41.46,675.508,662.4375758466664,655.9875209612051,553.900977431134,407.99629596542337,305.8579055825986
42.46,669.5,657.6408144470298,651.7654388690726,557.54803150357,423.7765802915921,330.97721829828026
43.46,667.5879069767442,656.1334887697506,650.4715698593252,560.3762965985168,433.9106633710254,347.40363519917065
44.46,670.532105263158,659.3180180545374,653.7753903697054,565.7565054389928,443.1129873280721,360.14617089631525
45.46,673.3620833333333,662.6858967758931,657.3987871514421,572.6760916646888,453.2003789393826,372.22256130068627
46.46,675.4609523809524,665.3756929342404,660.3761879490045,579.7251457273885,464.1375849827357,384.80989394725196
47.46,673.6166666666667,664.385198909149,659.7985727900405,584.9202557017145,474.9346960348014,397.8294766950243
48.46,672.2734210526315,663.6387530634843,659.349940752783,589.27069971505,485.2034413695687,410.9150355411456
49.46,674.9566666666667,666.6324700614339,662.5016528914491,595.2881207498191,495.76695567404715,424.20905563544017
50.46,674.9987234042553,667.3982752880099,663.614697638196,601.1648699117442,506.7489147119163,437.93172597295035
51.46,668.3911320754718,661.8831672843859,658.6292549776825,603.6590601742103,516.8867456391628,451.67247538516966
52.46,672.7832558139535,666.1675376185901,662.8859797552641,609.2622099905335,527.328399907451,465.5867562026515
53.46,672.8312195121952,667.0518740736297,664.1623824107268,615.4651012711614,538.7058259957408,480.17831669788814
54.46,674.82,669.50411566272,666.8513807034577,622.2308299371874,550.9676517666707,495.7221419902826
55.46,674.57,669.9720019452428,667.6691296011379,628.2834476318232,563.5051210362241,512.0268521582673
56.46,670.8811428571429,667.123536927604,665.233357753169,632.1359348736194,575.1900889666663,528.2759167058226
57.46,672.2436585365854,668.195645038761,666.18692404812,633.1065881340896,580.3373490151776,537.6260885495706
58.46,671.852,667.907557370295,665.9417138016142,633.2636428484093,582.1698014631617,542.130617357893
59.46,673.34,669.253998341671,667.2238245444892,633.8800372879297,582.8860169491129,544.0340144924166
60.46,666.3468421052631,662.8232955301694,661.0562760545741,630.8151890726272,582.0069977976525,544.2491267377109
61.46,665.6282352941176,661.7768436714713,659.866145105785,628.5730766686559,580.3164747353151,543.3663311978551
62.46,674.8957894736842,670.3568541749513,668.1137538195234,632.3527585333229,580.6682602667297,542.9497529389482
63.46,675.3369767441861,671.2964430242033,669.2743988365868,635.1938550822478,582.5567997521425,543.736419450593
64.46000000000001,672.8042222222223,669.0088418264743,667.1128232456219,635.0701654322403,583.9320672438739,544.9927685377197
65.46000000000001,683.4953846153846,678.807865772215,676.4956659131842,639.7793811592502,586.2335057147304,546.7207205004152
66.46000000000001,678.2623809523809,674.5298350932327,672.6507537325612,640.1560792397071,587.9882895444972,548.4491839083133
67.46000000000001,671.5906060606061,668.0384308585644,666.2650699315477,636.2239087595551,587.2860559026506,548.9722410834019
68.46000000000001,674.3576190476191,670.2318985670062,668.190959078668,635.3147795609054,585.9328883957097,548.3967386278707
69.46000000000001,678.5794871794872,674.2929729350816,672.1639092153221,637.462830932945,585.9202704623619,547.9298019080173
70.46000000000001,671.3916279069766,667.8257100578688,666.0344889380949,635.1785561569345,585.382029872511,547.4779075222314
71.46000000000001,663.7891891891892,660.338623413238,658.6174444255901,629.6144723894325,582.6991845057972,545.9972262929235
72.46000000000001,665.1295,661.1227280965595,659.1411576347277,627.2831109334513,579.693466892963,543.662909402412
73.46000000000001,661.1384210526315,657.4625589875752,655.6254391597463,624.8120316276702,577.079037096338,541.1593218625018
74.46000000000001,658.9425,655.1869507930985,653.3190443182804,622.4354793065925,574.7632815518491,538.83093412129
75.46000000000001,658.6289130434783,654.7616153539601,652.8390628936395,621.2265886343533,573.0196043271234,536.8966256408559
76.46000000000001,659.0636363636363,655.1442542064465,653.1944932236054,621.0578772288699,572.0948529666489,535.5809745614991
77.46000000000001,660.7085714285714,656.8048394322936,654.8616312409907,622.6929824876113,573.1174264153657,535.7583502135068
78.46000000000001,654.43,650.5633642777708,648.6386219504977,616.7756645396439,567.6712137136599,530.6671523202999
79.46000000000001,631.569090909091,627.837526710884,625.9800205800149,595.2301181480777,547.8410119063751,512.1295973615157
80.46000000000001,605.6051724137931,602.0270135228017,600.2458698188508,570.7601016603963,525.3191704618332,491.0758588399889
81.46000000000001,582.5028124999999,579.0611514674775,577.3479539643536,548.9869945387247,505.27952201418356,472.34250781440903
82.46000000000001,532.6043902439026,529.4575488377233,527.8911072892074,501.95960494091247,461.9962030889488,431.8806405154905
83.46000000000001,401.6877777777777,399.3144446128357,398.13304167905386,378.5756234289925,348.4354129943291,325.72239769671137
84.46000000000001,230.7537837837838,230.75378404480102,230.75378417004598,230.75378577277897,230.75378634056852,230.75378502599372
85.46000000000001,105.05428571428571,105.05428646931162,105.05428684682457,105.05429326454404,105.05430383490362,105.05431242331896
86.46000000000001,106.76540540540549,106.7654047934083,106.76540448740971,106.76539928543441,106.76539071747739,106.76538375601451
87.46000000000001,5.202000000000013,5.202000573045375,5.202000859568051,5.202005730453175,5.202013753085906,5.202020271473546
88.46000000000001,0.34,0.3400000576237069,0.34000008643556257,0.3400005762373431,0.34000138297064963,0.3400020384423428
