Z1,C1,Z2,C2,Z3,C3,Z4,C4
40.94,543.13,40.68,421.35,40.73,17.06,40.71,1.69
41.15,526.76,41.01,403.45,41.14,7.32,41.19,1.14
41.4,509.88,41.42,391.18,41.49,6.67,41.59,0.63
41.65,503.56,41.37,382.62,41.93,3.98,42.02,0.39
42.02,491.85,41.54,382.51,42.32,3.18,42.45,0.24
42.35,506.79,41.68,379.74,42.78,2.1,42.91,0.21
48.77,530.34,42.19,382.9,43.23,2.27,43.36,0.19
49.25,530.43,42.67,379.32,43.6,2.08,43.75,0.21
49.82,529.49,43.22,396.83,44.06,2.28,44.22,0.24
50.29,520.3,43.73,391.83,44.53,2.22,44.72,0.25
50.79,522.44,44.27,372.19,45.02,1.79,45.18,0.37
51.26,519.34,44.89,352.41,45.39,1.43,45.63,0.49
51.76,520.58,45.5,290.91,45.86,1.53,46.07,0.64
52.21,514.74,46.07,299.66,46.29,4.71,46.51,1.02
52.61,519.84,46.57,319.86,46.79,2.49,46.96,1.41
53.07,520.53,47.07,350.03,47.33,3.63,47.39,1.49
53.5,522.76,47.58,386.58,47.82,5.84,47.84,1.64
53.95,527.8,48.06,432.39,48.33,5.11,48.27,1.71
54.39,532.66,48.62,443.85,48.79,6.1,48.7,1.77
54.84,533.56,49.25,481.64,49.26,6.49,49.1,1.83
55.27,535.52,49.84,493.73,49.69,6.06,49.54,1.99
55.71,536.61,50.41,505.14,50.04,6.52,49.99,2.26
56.15,534.44,50.99,510.51,50.46,9.39,50.44,2.71
56.6,532.3,51.48,514.83,50.88,17.42,50.89,4.17
57.05,528.83,51.94,517.39,51.34,28.82,51.39,4.94
57.52,527.07,52.47,521.04,51.85,38.25,51.88,5.78
57.98,524.01,53.02,520.47,52.53,41.46,52.36,6.26
58.44,508.99,53.5,522.35,52.96,40.87,52.81,6.31
58.86,516.87,53.95,526.88,53.42,39.98,53.28,6.05
59.29,509.54,54.45,526.89,53.86,35.77,53.7,5.43
59.76,514.89,54.96,527.6,54.25,29.48,54.14,4.99
60.19,512.43,55.58,524.1,54.66,22.37,54.57,3.8
60.55,511.74,56.14,527.13,55.16,15.52,55.02,3.05
60.92,512.22,56.44,525.79,55.69,11.26,55.48,2.25
61.37,513.88,56.96,521.33,56.22,7.34,55.91,1.63
61.82,512.76,57.28,521.22,56.77,5.4,56.45,1.07
62.27,511.3,57.6,518.59,57.3,3.59,56.92,0.96
62.71,513.96,58.05,520.77,57.66,4.02,57.38,0.6
63.15,514.56,58.53,520.88,58.15,3.52,57.84,0.58
63.55,516.82,59.01,521.99,58.67,1.95,58.33,0.46
63.99,501.5,59.55,522.12,59.03,1.91,58.82,0.44
64.48,511.95,60.08,510.85,59.47,1.48,59.3,0.45
64.97,514.23,60.61,519.37,59.93,1.18,59.75,0.46
65.43,516.08,61.07,508.28,60.53,0.89,60.21,0.47
65.83,510.19,61.55,518.54,61.01,1.19,60.66,0.47
66.33,468.71,61.99,514.35,61.47,0.76,61.09,0.42
66.74,496.41,62.5,519.71,61.97,1.05,61.52,0.31
67.17,494.68,62.96,517.48,62.52,0.49,61.95,0.3
67.57,495.11,63.42,515.56,63.05,0.26,62.39,0.2
68.01,488.45,63.91,506.67,63.49,0.33,62.78,0.17
68.42,492.97,64.32,508.63,64.1,0.36,63.24,0.14
68.82,491.26,64.75,508.43,64.74,0.37,63.68,0.17
69.26,488.8,65.22,506.9,65.34,0.19,64.14,0.17
69.7,475.26,65.71,505.06,65.84,0.01,64.6,0.17
70.14,476.44,66.21,499.5,66.25,-0.09,65.09,0.26
70.57,466.73,66.66,491.02,66.69,0.35,65.53,0.22
70.96,454.1,67.12,469.69,67.2,0.2,65.95,0.25
71.38,461.68,67.57,471.94,67.72,-0.05,66.39,0.26
71.79,451.63,68.08,454.72,68.18,0.03,66.82,0.26
72.22,440.91,68.54,458.79,68.59,0.24,67.24,0.33
72.61,436.3,69.06,442.91,69.14,-0.05,67.61,0.33
72.98,423.54,69.48,439.31,69.69,0.24,68.09,0.3
73.33,411.19,69.9,427.61,70.23,0.01,68.54,0.26
73.68,424.23,70.35,419.79,70.7,-0.05,68.97,0.22
74.03,404.81,70.65,411.01,71.13,0.03,69.4,0.18
74.46,374.7,71.11,407.22,71.48,0.09,69.81,0.22
74.86,345.64,71.51,397.5,72.02,0.07,70.21,0.25
75.29,354.16,71.93,395.16,72.62,0.08,70.65,0.32
75.69,354.5,72.36,397.09,73.17,0.06,71.09,0.38
76.07,369.14,72.78,392.91,73.7,0.07,71.48,0.34
76.44,357.35,73.22,399.89,74.2,0.02,71.89,0.69
76.81,378.84,73.58,401.43,74.63,0.26,72.28,0.44
77.23,389.52,74.04,421.66,75.18,0.27,72.66,0.44
77.56,396.25,74.54,425.31,75.7,0.66,73.04,0.43
77.97,453.37,75.03,445.72,76.23,0.48,73.45,0.4
78.35,462.81,75.49,458.19,76.73,0.23,73.84,0.38
78.72,490.8,75.95,452.59,77.27,0.19,74.25,0.4
79.14,507.23,76.41,441.08,77.77,-0.02,74.64,0.39
79.52,570.13,76.82,458.69,78.26,0.04,75.04,0.37
79.89,522.69,77.22,474.18,78.48,0.4,75.45,0.4
80.3,602.23,77.5,463.42,78.92,0,75.86,0.43
80.69,592.76,77.52,443.88,79.38,0.02,76.32,0.43
81.13,598.25,77.49,442.82,79.83,0.06,76.72,0.32
81.53,597.15,77.61,464.43,80.32,0.04,77.13,0.32
81.96,584.89,77.99,463.34,80.77,-0.01,77.55,0.35
82.33,564.39,78.46,434.93,81.31,0.1,77.97,0.32
82.72,525.75,78.89,420.56,81.76,0.29,78.39,0.3
83.1,464.09,79.35,378.7,82.25,0.15,78.77,0.31
83.47,393.82,79.82,311.96,82.7,-0.11,79.15,0.32
83.87,338.14,80.16,256.84,83.12,-0.13,79.54,0.32
84.26,303.25,80.6,216.98,83.47,0.41,79.97,0.37
84.61,248.85,81.1,167.33,83.73,0.1,80.35,0.22
84.97,168.36,81.58,140.63,84.12,-0.03,80.76,0.21
85.36,148.93,82.02,135.07,84.48,-0.06,81.19,0.09
85.69,102.22,82.47,108.03,84.86,-0.15,81.58,0.07
86.02,80.55,82.85,95.25,85.18,-0.06,81.97,0.05
86.42,47.13,83.21,72.96,85.45,-0.09,82.39,0.01
86.62,32.74,83.55,68.68,85.67,0,82.8,0
,,83.94,49.5,85.86,0.01,83.24,-0.03
,,84.28,42.79,85.86,0.23,83.67,-0.04
,,84.62,36.06,85.87,0.32,84.08,-0.06
,,84.98,26.4,,,84.51,-0.07
,,85.32,20.53,,,84.92,-0.05
,,85.59,16.18,,,85.36,-0.02
,,85.85,13.33,,,85.74,0.08
,,85.88,13.62,,,86.11,0.48
,,,,,,86.41,0.37
,,,,,,86.46,0.32
,,,,,,86.55,0.4
,,,,,,86.62,0.29
